sample_id,true_label,true_sg,class_count_train,class_frequency_group,pred_no_fls,pred_fls,correct_no_fls,correct_fls,top3_hit_no_fls,top3_hit_fls,entropy_no_fls,entropy_fls,max_prob_no_fls,max_prob_fls
opxrd_0,224,225,289,Head,216,13,False,False,False,False,0.0041571113792554,2.597168812080015,0.9996039,0.374085009098053
opxrd_1,87,88,11,Head,87,87,True,True,True,True,0.0714757536992102,0.3806484856351664,0.98896104,0.95734441280365
opxrd_1005,224,225,289,Head,224,224,True,True,True,True,1.1608244688026611e-08,1.31395053986126,1.0,0.8389878273010254
opxrd_1015,224,225,289,Head,224,224,True,True,True,True,9.150082498843347e-10,0.9325743831522132,1.0,0.8913801312446594
opxrd_1016,224,225,289,Head,224,224,True,True,True,True,6.998344035979452e-10,0.8830515777088324,1.0,0.89784836769104
opxrd_1024,224,225,289,Head,224,224,True,True,True,True,3.778179674077521e-10,1.1833574650695309,1.0,0.8572782278060913
opxrd_1027,224,225,289,Head,224,224,True,True,True,True,1.1603065446122855e-09,1.2715422948835051,1.0,0.8449543714523315
opxrd_1037,224,225,289,Head,224,224,True,True,True,True,2.227066846530896e-09,1.3279710533058378,1.0,0.8369680643081665
opxrd_1039,224,225,289,Head,224,224,True,True,True,True,5.752405351526472e-10,1.201369017867862,1.0,0.8547351956367493
opxrd_1054,224,225,289,Head,224,224,True,True,True,True,9.460091966472321e-09,1.30205037122962,1.0,0.8406929969787598
opxrd_1058,224,225,289,Head,224,224,True,True,True,True,6.536571637582903e-10,1.2858845825902052,1.0,0.842863917350769
opxrd_106,10,11,13,Head,10,10,True,True,True,True,6.433686582720415e-05,0.3166878937499439,0.99999523,0.9670871496200562
opxrd_1061,224,225,289,Head,224,224,True,True,True,True,1.280936274789968e-08,1.2392656088787897,1.0,0.8494343757629395
opxrd_1067,224,225,289,Head,224,224,True,True,True,True,5.784510020657589e-09,1.3028162369087553,1.0,0.8405926823616028
opxrd_1068,224,225,289,Head,224,224,True,True,True,True,5.164202509190237e-09,1.3053253768863606,1.0,0.8402124643325806
opxrd_1072,224,225,289,Head,224,224,True,True,True,True,1.3679736251290351e-09,1.27148323384314,1.0,0.8449522852897644
opxrd_1079,224,225,289,Head,224,224,True,True,True,True,3.533534857253359e-09,1.3245426941276763,1.0,0.8374818563461304
opxrd_1081,224,225,289,Head,224,224,True,True,True,True,2.7614477791022673e-09,1.3177212253074306,1.0,0.8384029269218445
opxrd_1082,224,225,289,Head,224,224,True,True,True,True,1.8449512880274702e-09,1.311737942801192,1.0,0.8392654657363892
opxrd_1083,224,225,289,Head,224,224,True,True,True,True,6.937231722168582e-10,1.300778766923775,1.0,0.8408603072166443
opxrd_1084,224,225,289,Head,224,224,True,True,True,True,4.252243133877848e-09,1.269970594962987,1.0,0.845146894454956
opxrd_1087,224,225,289,Head,224,224,True,True,True,True,3.383697837814797e-10,1.123227743590404,1.0,0.865564227104187
opxrd_1091,224,225,289,Head,224,224,True,True,True,True,5.045551327507881e-09,1.3097231460564482,1.0,0.8396132588386536
opxrd_1092,224,225,289,Head,224,224,True,True,True,True,3.7835387026819e-10,0.8393147462604931,1.0,0.9036020040512084
