space_group,n_test_samples,accuracy_before,accuracy_after,recall_before,recall_after,f1_before,f1_after,class_count_train,class_frequency_group,delta_accuracy,delta_recall,delta_f1
2,13,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.4827586206896552,0.4848484848484848,52,Head,0.0769230769230769,0.0769230769230769,0.0020898641588296
4,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,14,Head,0.0,0.0,0.0
11,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,13,Head,0.0,0.0,-0.3333333333333333
12,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,10,Head,0.3333333333333333,0.3333333333333333,0.4
14,27,0.6296296296296297,0.5555555555555556,0.6296296296296297,0.5555555555555556,0.5573770491803278,0.5660377358490566,109,Head,-0.074074074074074,-0.074074074074074,0.0086606866687287
15,10,0.2,0.4,0.2,0.4,0.2666666666666666,0.5,37,Head,0.2,0.2,0.2333333333333333
19,7,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.4615384615384615,0.4705882352941176,27,Head,0.1428571428571428,0.1428571428571428,0.009049773755656
33,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,9,Head,0.0,0.0,0.0999999999999999
36,2,1.0,1.0,1.0,1.0,0.8,0.8,6,Head,0.0,0.0,0.0
60,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,24,Head,0.0,0.0,-0.1666666666666667
61,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.5,11,Head,0.0,0.0,0.2142857142857143
62,8,0.625,0.75,0.625,0.75,0.6666666666666666,0.6666666666666666,29,Head,0.125,0.125,0.0
63,3,0.0,0.0,0.0,0.0,0.0,0.0,10,Head,0.0,0.0,0.0
72,2,1.0,1.0,1.0,1.0,1.0,1.0,6,Head,0.0,0.0,0.0
74,8,0.625,0.625,0.625,0.625,0.6666666666666666,0.7692307692307693,29,Head,0.0,0.0,0.1025641025641026
88,3,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,11,Head,0.0,0.0,0.0
125,3,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,13,Head,0.0,0.0,0.1428571428571429
129,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7692307692307693,29,Head,0.0,0.0,0.1025641025641026
