true_sg,label_index,class_count_train,class_frequency_group,num_test_samples,accuracy_no_fls,accuracy_fls,recall_no_fls,recall_fls,f1_no_fls,f1_fls,delta_accuracy,delta_recall,delta_f1
12,11,10,Head,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,0.3333333333333333,0.3333333333333333,0.4
15,14,37,Head,10,0.2,0.4,0.2,0.4,0.26666666666666666,0.5,0.2,0.2,0.23333333333333334
19,18,27,Head,7,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.46153846153846156,0.47058823529411764,0.14285714285714285,0.14285714285714285,0.009049773755656076
62,61,29,Head,8,0.625,0.75,0.625,0.75,0.6666666666666666,0.6666666666666666,0.125,0.125,0.0
2,1,52,Head,13,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.4827586206896552,0.48484848484848486,0.07692307692307698,0.07692307692307698,0.0020898641588296685
4,3,14,Head,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
11,10,13,Head,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,-0.33333333333333337
33,32,9,Head,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.0,0.0,0.09999999999999998
36,35,6,Head,2,1.0,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
60,59,24,Head,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.0,0.0,-0.16666666666666674
61,60,11,Head,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.5,0.0,0.0,0.2142857142857143
63,62,10,Head,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,71,6,Head,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
74,73,29,Head,8,0.625,0.625,0.625,0.625,0.6666666666666666,0.7692307692307693,0.0,0.0,0.10256410256410264
88,87,11,Head,3,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
