sample_id,dataset,model_name,checkpoint_path,fusion_mode,fls_status,perturbation_type,seed,index,true_label,pred_label,true_sg,pred_sg,true_crystal_system,pred_crystal_system,symmetry_level,correct,top1_label,top1_prob,top2_label,top2_prob,top3_label,top3_prob,top3_hit,predictive_entropy,normalized_predictive_entropy,max_probability,probability_sum,gate_weight,gate_mean,gate_median,gate_std,gate_min,gate_max,peak_descriptor_perturbed,perturbation_notes,gate_return_method
opxrd_0,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,0,224,13,225,14,cubic,monoclinic,High symmetry,False,13,0.374085009098053,216,0.2987794876098633,68,0.045601584017276764,False,2.597168812080015,0.4775893591361185,0.374085009098053,1.0,0.30753546953201294,0.30753546953201294,0.30753546953201294,0.0,0.30753546953201294,0.30753546953201294,False,clean input; no perturbation applied,forward_return_gate
opxrd_1,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1,87,87,88,88,tetragonal,tetragonal,Medium symmetry,True,87,0.9573444128036499,165,0.0037859478034079075,226,0.002675630385056138,True,0.3806484856351664,0.06999686176157283,0.9573444128036499,0.9999999403953552,0.19781365990638733,0.19781365990638733,0.19781365990638733,0.0,0.19781365990638733,0.19781365990638733,False,clean input; no perturbation applied,forward_return_gate
opxrd_7,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,7,60,128,61,129,orthorhombic,tetragonal,Low symmetry,False,128,0.1898602545261383,1,0.10729595273733139,13,0.1023629829287529,False,4.222249528015546,0.7764229405568566,0.1898602545261383,0.9999998807907104,0.28063493967056274,0.28063493967056274,0.28063493967056274,0.0,0.28063493967056274,0.28063493967056274,False,clean input; no perturbation applied,forward_return_gate
opxrd_15,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,15,220,62,221,63,cubic,orthorhombic,High symmetry,False,62,0.7329860329627991,25,0.07757160812616348,224,0.027142710983753204,False,1.649826227365553,0.3033839952753904,0.7329860329627991,1.0000001192092896,0.15314733982086182,0.15314733982086182,0.15314733982086182,0.0,0.15314733982086182,0.15314733982086182,False,clean input; no perturbation applied,forward_return_gate
opxrd_22,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,22,215,226,216,227,cubic,cubic,High symmetry,False,226,0.9802296161651611,14,0.0033709534909576178,193,0.002420618664473295,False,0.17328362678229792,0.0318648583329709,0.9802296161651611,0.9999999403953552,0.28613752126693726,0.28613752126693726,0.28613752126693726,0.0,0.28613752126693726,0.28613752126693726,False,clean input; no perturbation applied,forward_return_gate
opxrd_28,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,28,14,14,15,15,monoclinic,monoclinic,Low symmetry,True,14,0.3490946292877197,73,0.10342029482126236,1,0.034324415028095245,True,3.7652087201758535,0.6923784127233351,0.3490946292877197,0.9999999403953552,0.058978497982025146,0.058978497982025146,0.058978497982025146,0.0,0.058978497982025146,0.058978497982025146,False,clean input; no perturbation applied,forward_return_gate
opxrd_32,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,32,13,11,14,12,monoclinic,monoclinic,Low symmetry,False,11,0.25828343629837036,1,0.0807013139128685,60,0.05744127184152603,False,3.8996035435196843,0.7170920690915507,0.25828343629837036,0.9999998807907104,0.12610745429992676,0.12610745429992676,0.12610745429992676,0.0,0.12610745429992676,0.12610745429992676,False,clean input; no perturbation applied,forward_return_gate
opxrd_35,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,35,1,59,2,60,triclinic,orthorhombic,Low symmetry,False,59,0.238587886095047,28,0.09368846565485,13,0.07597481459379196,False,4.100924831584165,0.7541127296277327,0.238587886095047,1.0,0.30506157875061035,0.30506157875061035,0.30506157875061035,0.0,0.30506157875061035,0.30506157875061035,False,clean input; no perturbation applied,forward_return_gate
opxrd_36,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,36,162,162,163,163,trigonal,trigonal,Medium symmetry,True,162,0.5342141389846802,14,0.08351670950651169,60,0.06888246536254883,True,2.5350091399377037,0.4661589130886849,0.5342141389846802,1.0,0.24497252702713013,0.24497252702713013,0.24497252702713013,0.0,0.24497252702713013,0.24497252702713013,False,clean input; no perturbation applied,forward_return_gate
opxrd_37,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,37,10,10,11,11,monoclinic,monoclinic,Low symmetry,True,10,0.9685075283050537,13,0.000994140631519258,59,0.0007879367331042886,True,0.3042831224778934,0.05595415314716053,0.9685075283050537,1.0,0.249141663312912,0.249141663312912,0.249141663312912,0.0,0.249141663312912,0.249141663312912,False,clean input; no perturbation applied,forward_return_gate
opxrd_38,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,38,12,1,13,2,monoclinic,triclinic,Low symmetry,False,1,0.5261619687080383,13,0.07961477339267731,32,0.029485413804650307,False,2.909072491441373,0.5349448447116164,0.5261619687080383,1.0,0.08834603428840637,0.08834603428840637,0.08834603428840637,0.0,0.08834603428840637,0.08834603428840637,False,clean input; no perturbation applied,forward_return_gate
