sg,label_index,train_count,frequency_rank,frequency_percentile,class_frequency_group
1,0,2,6,0.06521739130434782,Tail
2,1,52,90,0.9782608695652174,Head
3,2,2,7,0.07608695652173914,Tail
4,3,14,81,0.8804347826086957,Head
5,4,3,47,0.5108695652173914,Medium
6,5,0,0,0.0,Absent
7,6,2,8,0.08695652173913043,Tail
8,7,0,0,0.0,Absent
9,8,2,9,0.09782608695652174,Tail
10,9,0,0,0.0,Absent
11,10,13,78,0.8478260869565217,Head
12,11,10,72,0.782608695652174,Head
13,12,5,61,0.6630434782608695,Medium
14,13,109,91,0.9891304347826086,Head
15,14,37,89,0.967391304347826,Head
16,15,0,0,0.0,Absent
17,16,0,0,0.0,Absent
18,17,2,10,0.10869565217391304,Tail
19,18,27,85,0.9239130434782609,Head
20,19,0,0,0.0,Absent
21,20,0,0,0.0,Absent
22,21,0,0,0.0,Absent
23,22,0,0,0.0,Absent
24,23,0,0,0.0,Absent
25,24,0,0,0.0,Absent
26,25,5,62,0.6739130434782609,Medium
27,26,0,0,0.0,Absent
28,27,0,0,0.0,Absent
29,28,4,55,0.5978260869565217,Medium
30,29,0,0,0.0,Absent
31,30,2,11,0.11956521739130435,Tail
32,31,2,12,0.13043478260869565,Tail
33,32,9,71,0.7717391304347826,Head
34,33,0,0,0.0,Absent
35,34,0,0,0.0,Absent
36,35,6,67,0.7282608695652174,Head
37,36,0,0,0.0,Absent
38,37,0,0,0.0,Absent
39,38,0,0,0.0,Absent
40,39,0,0,0.0,Absent
41,40,0,0,0.0,Absent
42,41,0,0,0.0,Absent
43,42,2,13,0.14130434782608695,Tail
44,43,0,0,0.0,Absent
45,44,3,48,0.5217391304347826,Medium
46,45,2,14,0.15217391304347827,Tail
47,46,0,0,0.0,Absent
48,47,0,0,0.0,Absent
49,48,0,0,0.0,Absent
50,49,0,0,0.0,Absent
51,50,2,15,0.16304347826086957,Tail
52,51,2,16,0.17391304347826086,Tail
53,52,1,1,0.010869565217391304,Tail
54,53,0,0,0.0,Absent
55,54,0,0,0.0,Absent
56,55,0,0,0.0,Absent
57,56,2,17,0.18478260869565216,Tail
58,57,3,49,0.532608695652174,Medium
59,58,2,18,0.1956521739130435,Tail
60,59,24,84,0.9130434782608695,Head
61,60,11,74,0.8043478260869565,Head
62,61,29,86,0.9347826086956522,Head
63,62,10,73,0.7934782608695652,Head
64,63,2,19,0.20652173913043478,Tail
65,64,2,20,0.21739130434782608,Tail
66,65,0,0,0.0,Absent
67,66,2,21,0.22826086956521738,Tail
68,67,0,0,0.0,Absent
69,68,2,22,0.2391304347826087,Tail
70,69,2,23,0.25,Tail
71,70,2,24,0.2608695652173913,Tail
72,71,6,68,0.7391304347826086,Head
73,72,0,0,0.0,Absent
74,73,29,87,0.9456521739130435,Head
75,74,0,0,0.0,Absent
76,75,0,0,0.0,Absent
77,76,0,0,0.0,Absent
78,77,0,0,0.0,Absent
79,78,0,0,0.0,Absent
80,79,0,0,0.0,Absent
81,80,0,0,0.0,Absent
82,81,0,0,0.0,Absent
83,82,0,0,0.0,Absent
84,83,0,0,0.0,Absent
85,84,1,2,0.021739130434782608,Tail
86,85,0,0,0.0,Absent
87,86,3,50,0.5434782608695652,Medium
88,87,11,75,0.8152173913043478,Head
89,88,0,0,0.0,Absent
90,89,0,0,0.0,Absent
91,90,0,0,0.0,Absent
92,91,3,51,0.5543478260869565,Medium
93,92,0,0,0.0,Absent
94,93,0,0,0.0,Absent
95,94,0,0,0.0,Absent
96,95,0,0,0.0,Absent
97,96,0,0,0.0,Absent
98,97,0,0,0.0,Absent
99,98,0,0,0.0,Absent
100,99,0,0,0.0,Absent
101,100,2,25,0.2717391304347826,Tail
102,101,0,0,0.0,Absent
103,102,0,0,0.0,Absent
104,103,0,0,0.0,Absent
105,104,0,0,0.0,Absent
106,105,0,0,0.0,Absent
107,106,0,0,0.0,Absent
108,107,0,0,0.0,Absent
109,108,0,0,0.0,Absent
110,109,0,0,0.0,Absent
111,110,0,0,0.0,Absent
112,111,0,0,0.0,Absent
113,112,0,0,0.0,Absent
114,113,0,0,0.0,Absent
115,114,0,0,0.0,Absent
116,115,0,0,0.0,Absent
117,116,0,0,0.0,Absent
118,117,0,0,0.0,Absent
119,118,0,0,0.0,Absent
120,119,0,0,0.0,Absent
121,120,2,26,0.2826086956521739,Tail
122,121,0,0,0.0,Absent
123,122,3,52,0.5652173913043478,Medium
124,123,0,0,0.0,Absent
125,124,13,79,0.8586956521739131,Head
126,125,0,0,0.0,Absent
127,126,2,27,0.29347826086956524,Tail
128,127,0,0,0.0,Absent
129,128,29,88,0.9565217391304348,Head
130,129,0,0,0.0,Absent
131,130,0,0,0.0,Absent
132,131,0,0,0.0,Absent
133,132,0,0,0.0,Absent
134,133,0,0,0.0,Absent
135,134,0,0,0.0,Absent
136,135,0,0,0.0,Absent
137,136,2,28,0.30434782608695654,Medium
138,137,0,0,0.0,Absent
139,138,11,76,0.8260869565217391,Head
140,139,6,69,0.75,Head
141,140,5,63,0.6847826086956522,Medium
142,141,1,3,0.03260869565217391,Tail
143,142,0,0,0.0,Absent
144,143,0,0,0.0,Absent
145,144,2,29,0.31521739130434784,Medium
146,145,2,30,0.32608695652173914,Medium
147,146,0,0,0.0,Absent
148,147,23,83,0.9021739130434783,Head
149,148,0,0,0.0,Absent
150,149,0,0,0.0,Absent
151,150,0,0,0.0,Absent
152,151,0,0,0.0,Absent
153,152,0,0,0.0,Absent
154,153,0,0,0.0,Absent
155,154,0,0,0.0,Absent
156,155,0,0,0.0,Absent
157,156,0,0,0.0,Absent
158,157,2,31,0.33695652173913043,Medium
159,158,0,0,0.0,Absent
160,159,0,0,0.0,Absent
161,160,2,32,0.34782608695652173,Medium
162,161,2,33,0.358695652173913,Medium
163,162,4,56,0.6086956521739131,Medium
164,163,4,57,0.6195652173913043,Medium
165,164,0,0,0.0,Absent
166,165,12,77,0.8369565217391305,Head
167,166,5,64,0.6956521739130435,Medium
168,167,0,0,0.0,Absent
169,168,0,0,0.0,Absent
170,169,0,0,0.0,Absent
171,170,0,0,0.0,Absent
172,171,0,0,0.0,Absent
173,172,0,0,0.0,Absent
174,173,0,0,0.0,Absent
175,174,2,34,0.3695652173913043,Medium
176,175,5,65,0.7065217391304348,Head
