Training command: scripts/revision/train_missing_ablation.py --device cuda:0 --epochs 300 --batch-size 64 --learning-rate 5e-4 --patience 25 --seed 42 --num-workers 0 --output-dir revision_outputs/missing_ablation_training
{
  "model_name": "cnn_aug_fls_no_peak",
  "num_classes": 230,
  "random_seed": 42,
  "batch_size": 64,
  "learning_rate": 0.0005,
  "num_epochs": 300,
  "early_stopping": true,
  "early_stopping_patience": 25,
  "best_checkpoint_metric": "validation_weighted_f1",
  "best_checkpoint_split": "validation",
  "device": "cuda:0",
  "output_dir": "revision_outputs/missing_ablation_training/cnn_aug_fls_no_peak",
  "use_xrd_branch": true,
  "use_peak_branch": false,
  "fusion_mode": "xrd_only",
  "use_augmentation": true,
  "use_fls": true,
  "focal_loss_gamma": 1.5,
  "label_smoothing": 0.1,
  "dataset_npz": "revision_outputs/configs/opxrd_legacy_augmented_seed42.npz",
  "split_file": "revision_outputs/missing_ablation_training/configs/splits/legacy_augmented_train_val_test_seed42.json",
  "train_split": "legacy_augmented_train",
  "val_split": "legacy_augmented_validation",
  "test_split": "legacy_augmented_test_245",
  "evaluation_split": "legacy augmented 245 split"
}
epoch=1 train_loss=3.9185 train_acc=0.2653 val_loss=3.8918 val_acc=0.3259 val_wf1=0.2143 val_mf1=0.0143
epoch=2 train_loss=2.9058 train_acc=0.3806 val_loss=3.2105 val_acc=0.3348 val_wf1=0.2402 val_mf1=0.0139
epoch=3 train_loss=2.5774 train_acc=0.4324 val_loss=3.1040 val_acc=0.3705 val_wf1=0.2975 val_mf1=0.0344
epoch=4 train_loss=2.3596 train_acc=0.4602 val_loss=2.8942 val_acc=0.4330 val_wf1=0.3673 val_mf1=0.0624
epoch=5 train_loss=2.1950 train_acc=0.5133 val_loss=2.7363 val_acc=0.4554 val_wf1=0.3803 val_mf1=0.0688
epoch=6 train_loss=2.0187 train_acc=0.5345 val_loss=2.6278 val_acc=0.4598 val_wf1=0.3949 val_mf1=0.0750
epoch=7 train_loss=1.9216 train_acc=0.5424 val_loss=2.5461 val_acc=0.4598 val_wf1=0.3891 val_mf1=0.0764
epoch=8 train_loss=1.7352 train_acc=0.5968 val_loss=2.4392 val_acc=0.4821 val_wf1=0.4204 val_mf1=0.0959
epoch=9 train_loss=1.6375 train_acc=0.6061 val_loss=2.3858 val_acc=0.4955 val_wf1=0.4417 val_mf1=0.1479
epoch=10 train_loss=1.5171 train_acc=0.6141 val_loss=2.3705 val_acc=0.4955 val_wf1=0.4350 val_mf1=0.1334
epoch=11 train_loss=1.3989 train_acc=0.6592 val_loss=2.2456 val_acc=0.5134 val_wf1=0.4540 val_mf1=0.1787
