Training command: scripts/revision/train_missing_ablation.py --device cuda:0 --epochs 300 --batch-size 64 --learning-rate 5e-4 --patience 25 --seed 42 --num-workers 0 --output-dir revision_outputs/missing_ablation_training
{
  "model_name": "cnn_peaks_concat_no_aug",
  "num_classes": 230,
  "random_seed": 42,
  "batch_size": 64,
  "learning_rate": 0.0005,
  "num_epochs": 300,
  "early_stopping": true,
  "early_stopping_patience": 25,
  "best_checkpoint_metric": "validation_weighted_f1",
  "best_checkpoint_split": "validation",
  "device": "cuda:0",
  "output_dir": "revision_outputs/missing_ablation_training/cnn_peaks_concat_no_aug",
  "use_xrd_branch": true,
  "use_peak_branch": true,
  "fusion_mode": "concat",
  "use_augmentation": false,
  "use_fls": false,
  "focal_loss_gamma": null,
  "label_smoothing": null,
  "dataset_npz": "experiment_xrd.npz",
  "split_file": "revision_outputs/missing_ablation_training/configs/splits/raw_no_aug_train_val_test_seed42.json",
  "train_split": "raw_no_aug_train",
  "val_split": "raw_no_aug_validation",
  "test_split": "raw_no_aug_test_239",
  "evaluation_split": "raw 239 split"
}
epoch=1 train_loss=3.6922 train_acc=0.3136 val_loss=3.0268 val_acc=0.4031 val_wf1=0.2924 val_mf1=0.0335
epoch=2 train_loss=2.7137 train_acc=0.3913 val_loss=2.5559 val_acc=0.4796 val_wf1=0.3903 val_mf1=0.0804
epoch=3 train_loss=2.4006 train_acc=0.4690 val_loss=2.2744 val_acc=0.5153 val_wf1=0.4330 val_mf1=0.1025
epoch=4 train_loss=2.1079 train_acc=0.5138 val_loss=2.1547 val_acc=0.5255 val_wf1=0.4357 val_mf1=0.1286
epoch=5 train_loss=1.9304 train_acc=0.5441 val_loss=2.1579 val_acc=0.5459 val_wf1=0.4835 val_mf1=0.1525
epoch=6 train_loss=1.7353 train_acc=0.5942 val_loss=1.9789 val_acc=0.5663 val_wf1=0.5034 val_mf1=0.1876
epoch=7 train_loss=1.5385 train_acc=0.6311 val_loss=1.9282 val_acc=0.5714 val_wf1=0.5244 val_mf1=0.2291
epoch=8 train_loss=1.3764 train_acc=0.6588 val_loss=1.8937 val_acc=0.5663 val_wf1=0.5332 val_mf1=0.2359
epoch=9 train_loss=1.2130 train_acc=0.6891 val_loss=1.8696 val_acc=0.5918 val_wf1=0.5488 val_mf1=0.2820
epoch=10 train_loss=1.0796 train_acc=0.7088 val_loss=1.9139 val_acc=0.5918 val_wf1=0.5543 val_mf1=0.2611
epoch=11 train_loss=0.8904 train_acc=0.7523 val_loss=1.8905 val_acc=0.6173 val_wf1=0.5761 val_mf1=0.3053
epoch=12 train_loss=0.8247 train_acc=0.7694 val_loss=1.9300 val_acc=0.6224 val_wf1=0.5752 val_mf1=0.3068
epoch=13 train_loss=0.7077 train_acc=0.7958 val_loss=1.9483 val_acc=0.6122 val_wf1=0.5856 val_mf1=0.3186
epoch=14 train_loss=0.5927 train_acc=0.8419 val_loss=2.0271 val_acc=0.6276 val_wf1=0.5968 val_mf1=0.3440
epoch=15 train_loss=0.5977 train_acc=0.8274 val_loss=2.1898 val_acc=0.6071 val_wf1=0.5775 val_mf1=0.3131
epoch=16 train_loss=0.4887 train_acc=0.8603 val_loss=2.1963 val_acc=0.6327 val_wf1=0.6020 val_mf1=0.3772
epoch=17 train_loss=0.3419 train_acc=0.9144 val_loss=2.4686 val_acc=0.6327 val_wf1=0.6053 val_mf1=0.4122
epoch=18 train_loss=0.3784 train_acc=0.8867 val_loss=2.2739 val_acc=0.6684 val_wf1=0.6323 val_mf1=0.4289
epoch=19 train_loss=0.3048 train_acc=0.9091 val_loss=2.3562 val_acc=0.6429 val_wf1=0.6084 val_mf1=0.3775
epoch=20 train_loss=0.2359 train_acc=0.9341 val_loss=2.3188 val_acc=0.6429 val_wf1=0.6075 val_mf1=0.4143
epoch=21 train_loss=0.2244 train_acc=0.9368 val_loss=2.4360 val_acc=0.6327 val_wf1=0.5968 val_mf1=0.3790
epoch=22 train_loss=0.2242 train_acc=0.9262 val_loss=2.4073 val_acc=0.6122 val_wf1=0.5940 val_mf1=0.3547
epoch=23 train_loss=0.2168 train_acc=0.9433 val_loss=2.6250 val_acc=0.6327 val_wf1=0.6051 val_mf1=0.3888
epoch=24 train_loss=0.1735 train_acc=0.9447 val_loss=2.3708 val_acc=0.6378 val_wf1=0.6120 val_mf1=0.3913
epoch=25 train_loss=0.1485 train_acc=0.9631 val_loss=2.5435 val_acc=0.6429 val_wf1=0.6168 val_mf1=0.4006
epoch=26 train_loss=0.1406 train_acc=0.9592 val_loss=2.5656 val_acc=0.6531 val_wf1=0.6188 val_mf1=0.3879
epoch=27 train_loss=0.1401 train_acc=0.9631 val_loss=2.5575 val_acc=0.6480 val_wf1=0.6194 val_mf1=0.3996
epoch=28 train_loss=0.1253 train_acc=0.9684 val_loss=2.5140 val_acc=0.6480 val_wf1=0.6185 val_mf1=0.3966
epoch=29 train_loss=0.1124 train_acc=0.9723 val_loss=3.0449 val_acc=0.6429 val_wf1=0.6037 val_mf1=0.3969
epoch=30 train_loss=0.1544 train_acc=0.9552 val_loss=2.6715 val_acc=0.6480 val_wf1=0.6238 val_mf1=0.3830
epoch=31 train_loss=0.1323 train_acc=0.9644 val_loss=2.8085 val_acc=0.6429 val_wf1=0.6070 val_mf1=0.3940
epoch=32 train_loss=0.1093 train_acc=0.9671 val_loss=2.7622 val_acc=0.6582 val_wf1=0.6222 val_mf1=0.4135
epoch=33 train_loss=0.1105 train_acc=0.9671 val_loss=3.0556 val_acc=0.6378 val_wf1=0.6088 val_mf1=0.4166
epoch=34 train_loss=0.1050 train_acc=0.9736 val_loss=2.9054 val_acc=0.6327 val_wf1=0.5992 val_mf1=0.3892
epoch=35 train_loss=0.1019 train_acc=0.9802 val_loss=2.9112 val_acc=0.6276 val_wf1=0.5937 val_mf1=0.3919
epoch=36 train_loss=0.0811 train_acc=0.9816 val_loss=2.8233 val_acc=0.6378 val_wf1=0.6071 val_mf1=0.4019
epoch=37 train_loss=0.0909 train_acc=0.9750 val_loss=2.8496 val_acc=0.6531 val_wf1=0.6191 val_mf1=0.3974
epoch=38 train_loss=0.1037 train_acc=0.9750 val_loss=2.9064 val_acc=0.6378 val_wf1=0.6043 val_mf1=0.4052
epoch=39 train_loss=0.0757 train_acc=0.9829 val_loss=2.8305 val_acc=0.6582 val_wf1=0.6232 val_mf1=0.4124
epoch=40 train_loss=0.0569 train_acc=0.9881 val_loss=2.7946 val_acc=0.6531 val_wf1=0.6248 val_mf1=0.4199
epoch=41 train_loss=0.0629 train_acc=0.9829 val_loss=2.8606 val_acc=0.6531 val_wf1=0.6268 val_mf1=0.4233
epoch=42 train_loss=0.0667 train_acc=0.9842 val_loss=3.1764 val_acc=0.6327 val_wf1=0.5981 val_mf1=0.3967
epoch=43 train_loss=0.0590 train_acc=0.9829 val_loss=3.1656 val_acc=0.6429 val_wf1=0.6070 val_mf1=0.4096
Early stopping at epoch 43; best_epoch=18; best_validation_weighted_f1=0.6323189282372955
