Training command: scripts/revision/train_missing_ablation.py --device cuda:0 --epochs 300 --batch-size 64 --learning-rate 5e-4 --patience 25 --seed 42 --num-workers 0 --output-dir revision_outputs/missing_ablation_training
{
  "model_name": "cnn_peaks_gate_no_aug",
  "num_classes": 230,
  "random_seed": 42,
  "batch_size": 64,
  "learning_rate": 0.0005,
  "num_epochs": 300,
  "early_stopping": true,
  "early_stopping_patience": 25,
  "best_checkpoint_metric": "validation_weighted_f1",
  "best_checkpoint_split": "validation",
  "device": "cuda:0",
  "output_dir": "revision_outputs/missing_ablation_training/cnn_peaks_gate_no_aug",
  "use_xrd_branch": true,
  "use_peak_branch": true,
  "fusion_mode": "gate",
  "use_augmentation": false,
  "use_fls": false,
  "focal_loss_gamma": null,
  "label_smoothing": null,
  "dataset_npz": "experiment_xrd.npz",
  "split_file": "revision_outputs/missing_ablation_training/configs/splits/raw_no_aug_train_val_test_seed42.json",
  "train_split": "raw_no_aug_train",
  "val_split": "raw_no_aug_validation",
  "test_split": "raw_no_aug_test_239",
  "evaluation_split": "raw 239 split"
}
epoch=1 train_loss=3.7164 train_acc=0.3057 val_loss=2.9417 val_acc=0.3878 val_wf1=0.2643 val_mf1=0.0224
epoch=2 train_loss=2.7040 train_acc=0.3992 val_loss=2.5373 val_acc=0.4439 val_wf1=0.3323 val_mf1=0.0486
epoch=3 train_loss=2.3981 train_acc=0.4585 val_loss=2.3846 val_acc=0.4796 val_wf1=0.3967 val_mf1=0.0908
epoch=4 train_loss=2.1403 train_acc=0.5178 val_loss=2.2153 val_acc=0.5102 val_wf1=0.4222 val_mf1=0.1175
epoch=5 train_loss=1.9342 train_acc=0.5375 val_loss=2.0924 val_acc=0.5306 val_wf1=0.4565 val_mf1=0.1296
epoch=6 train_loss=1.7462 train_acc=0.5837 val_loss=2.0253 val_acc=0.5561 val_wf1=0.4905 val_mf1=0.1652
epoch=7 train_loss=1.5338 train_acc=0.6166 val_loss=1.9581 val_acc=0.5561 val_wf1=0.5042 val_mf1=0.1837
epoch=8 train_loss=1.3420 train_acc=0.6535 val_loss=1.9035 val_acc=0.5918 val_wf1=0.5639 val_mf1=0.2599
epoch=9 train_loss=1.1695 train_acc=0.7036 val_loss=1.9823 val_acc=0.5714 val_wf1=0.5200 val_mf1=0.2478
epoch=10 train_loss=1.0347 train_acc=0.7246 val_loss=1.9936 val_acc=0.6122 val_wf1=0.5711 val_mf1=0.2829
epoch=11 train_loss=0.8560 train_acc=0.7536 val_loss=2.2283 val_acc=0.6071 val_wf1=0.5705 val_mf1=0.3157
epoch=12 train_loss=0.7472 train_acc=0.7866 val_loss=2.0736 val_acc=0.6020 val_wf1=0.5612 val_mf1=0.2957
epoch=13 train_loss=0.6881 train_acc=0.8011 val_loss=2.1430 val_acc=0.6020 val_wf1=0.5618 val_mf1=0.2834
epoch=14 train_loss=0.5307 train_acc=0.8472 val_loss=2.2561 val_acc=0.6071 val_wf1=0.5810 val_mf1=0.3524
epoch=15 train_loss=0.4753 train_acc=0.8630 val_loss=2.2694 val_acc=0.5969 val_wf1=0.5678 val_mf1=0.3106
epoch=16 train_loss=0.3989 train_acc=0.8893 val_loss=2.6362 val_acc=0.6531 val_wf1=0.6400 val_mf1=0.3881
epoch=17 train_loss=0.2790 train_acc=0.9196 val_loss=2.7146 val_acc=0.6378 val_wf1=0.6014 val_mf1=0.3737
epoch=18 train_loss=0.2985 train_acc=0.9091 val_loss=2.5104 val_acc=0.6071 val_wf1=0.5834 val_mf1=0.3567
epoch=19 train_loss=0.2001 train_acc=0.9420 val_loss=2.7636 val_acc=0.6224 val_wf1=0.5953 val_mf1=0.3834
epoch=20 train_loss=0.2387 train_acc=0.9236 val_loss=2.6559 val_acc=0.6378 val_wf1=0.6147 val_mf1=0.3999
epoch=21 train_loss=0.1811 train_acc=0.9433 val_loss=2.6364 val_acc=0.6276 val_wf1=0.5961 val_mf1=0.3902
epoch=22 train_loss=0.1510 train_acc=0.9592 val_loss=2.5321 val_acc=0.6327 val_wf1=0.6092 val_mf1=0.3809
epoch=23 train_loss=0.1424 train_acc=0.9631 val_loss=2.7189 val_acc=0.6327 val_wf1=0.5942 val_mf1=0.3719
epoch=24 train_loss=0.1234 train_acc=0.9539 val_loss=2.7744 val_acc=0.6378 val_wf1=0.6110 val_mf1=0.3725
epoch=25 train_loss=0.1197 train_acc=0.9657 val_loss=2.8928 val_acc=0.6224 val_wf1=0.5994 val_mf1=0.4023
epoch=26 train_loss=0.1381 train_acc=0.9631 val_loss=2.7816 val_acc=0.6429 val_wf1=0.6038 val_mf1=0.3857
epoch=27 train_loss=0.1107 train_acc=0.9697 val_loss=2.7700 val_acc=0.6378 val_wf1=0.6028 val_mf1=0.3974
epoch=28 train_loss=0.1003 train_acc=0.9710 val_loss=2.9232 val_acc=0.6224 val_wf1=0.5934 val_mf1=0.3934
epoch=29 train_loss=0.1070 train_acc=0.9723 val_loss=3.3894 val_acc=0.6327 val_wf1=0.5975 val_mf1=0.4078
epoch=30 train_loss=0.0734 train_acc=0.9802 val_loss=3.0512 val_acc=0.6327 val_wf1=0.6012 val_mf1=0.3908
epoch=31 train_loss=0.1072 train_acc=0.9789 val_loss=3.3742 val_acc=0.6173 val_wf1=0.5843 val_mf1=0.3742
epoch=32 train_loss=0.1022 train_acc=0.9657 val_loss=3.0755 val_acc=0.6071 val_wf1=0.5762 val_mf1=0.3639
epoch=33 train_loss=0.1044 train_acc=0.9697 val_loss=2.9652 val_acc=0.6173 val_wf1=0.5906 val_mf1=0.3817
epoch=34 train_loss=0.0727 train_acc=0.9816 val_loss=2.9147 val_acc=0.6429 val_wf1=0.6024 val_mf1=0.4236
epoch=35 train_loss=0.0608 train_acc=0.9816 val_loss=2.8659 val_acc=0.6327 val_wf1=0.5936 val_mf1=0.3920
epoch=36 train_loss=0.0513 train_acc=0.9842 val_loss=3.1342 val_acc=0.6378 val_wf1=0.6160 val_mf1=0.4079
epoch=37 train_loss=0.0645 train_acc=0.9855 val_loss=3.4806 val_acc=0.6173 val_wf1=0.6029 val_mf1=0.3836
epoch=38 train_loss=0.0507 train_acc=0.9816 val_loss=2.9921 val_acc=0.6327 val_wf1=0.6062 val_mf1=0.3922
epoch=39 train_loss=0.0546 train_acc=0.9842 val_loss=3.2306 val_acc=0.6378 val_wf1=0.6163 val_mf1=0.4186
epoch=40 train_loss=0.0695 train_acc=0.9736 val_loss=3.1483 val_acc=0.6327 val_wf1=0.5962 val_mf1=0.3893
epoch=41 train_loss=0.0621 train_acc=0.9750 val_loss=3.5182 val_acc=0.6429 val_wf1=0.6162 val_mf1=0.4230
Early stopping at epoch 41; best_epoch=16; best_validation_weighted_f1=0.6400175221603792
