sample_id,dataset,model_name,checkpoint_path,fusion_mode,fls_status,perturbation_type,seed,index,true_label,pred_label,true_sg,pred_sg,true_crystal_system,pred_crystal_system,symmetry_level,correct,top1_label,top1_prob,top2_label,top2_prob,top3_label,top3_prob,top3_hit,predictive_entropy,normalized_predictive_entropy,max_probability,probability_sum,gate_weight,gate_mean,gate_median,gate_std,gate_min,gate_max,peak_descriptor_perturbed,perturbation_notes,gate_return_method,uncertainty_source,class_count_train,class_frequency_group,coverage_level,entropy_threshold,retained,rejected
opxrd_0,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,0,224,13,225,14,cubic,monoclinic,High symmetry,False,13,0.374085009098053,216,0.2987794876098633,68,0.0456015840172767,False,2.597168812080015,0.4775893591361185,0.374085009098053,1.0,0.3075354695320129,0.3075354695320129,0.3075354695320129,0.0,0.3075354695320129,0.3075354695320129,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1,87,87,88,88,tetragonal,tetragonal,Medium symmetry,True,87,0.95734441280365,165,0.0037859478034079,226,0.0026756303850561,True,0.3806484856351664,0.0699968617615728,0.95734441280365,0.9999999403953552,0.1978136599063873,0.1978136599063873,0.1978136599063873,0.0,0.1978136599063873,0.1978136599063873,False,clean input; no perturbation applied,forward_return_gate,single_softmax,11,Head,0.8,3.6350513474075674,True,False
opxrd_1005,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1005,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8389878273010254,45,0.0015659540658816,147,0.0008375711622647,True,1.31395053986126,0.2416203341693149,0.8389878273010254,0.9999998807907104,0.1360428184270858,0.1360428184270858,0.1360428184270858,0.0,0.1360428184270858,0.1360428184270858,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1015,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1015,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8913801312446594,145,0.0007137088687159,10,0.0006823363364674,True,0.9325743831522132,0.1714896620985239,0.8913801312446594,0.9999999403953552,0.0795182287693023,0.0795182287693023,0.0795182287693023,0.0,0.0795182287693023,0.0795182287693023,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1016,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1016,224,224,225,225,cubic,cubic,High symmetry,True,224,0.89784836769104,126,0.0010095193283632,198,0.00080769212218,True,0.8830515777088324,0.1623829899390869,0.89784836769104,0.9999998807907104,0.0756384506821632,0.0756384506821632,0.0756384506821632,0.0,0.0756384506821632,0.0756384506821632,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1024,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1024,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8572782278060913,1,0.0007740993169136,10,0.0007577298674732,True,1.1833574650695309,0.2176057754670462,0.8572782278060913,1.0000001192092896,0.1213493645191192,0.1213493645191192,0.1213493645191192,0.0,0.1213493645191192,0.1213493645191192,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1027,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1027,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8449543714523315,45,0.0008966362220235,162,0.0008126283646561,True,1.2715422948835051,0.2338219475389162,0.8449543714523315,1.0,0.139260858297348,0.139260858297348,0.139260858297348,0.0,0.139260858297348,0.139260858297348,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1037,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1037,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8369680643081665,162,0.0008431958267465,128,0.0008410161826759,True,1.3279710533058378,0.244198544719053,0.8369680643081665,1.0000001192092896,0.1235757693648338,0.1235757693648338,0.1235757693648338,0.0,0.1235757693648338,0.1235757693648338,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1039,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1039,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8547351956367493,61,0.0007737615378573,1,0.0007516462937928,True,1.201369017867862,0.2209178920757129,0.8547351956367493,1.0,0.1343636065721511,0.1343636065721511,0.1343636065721511,0.0,0.1343636065721511,0.1343636065721511,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1054,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1054,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8406929969787598,45,0.001078940462321,162,0.0008227876969613,True,1.30205037122962,0.2394320305504043,0.8406929969787598,0.9999999403953552,0.1427502632141113,0.1427502632141113,0.1427502632141113,0.0,0.1427502632141113,0.1427502632141113,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1058,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1058,224,224,225,225,cubic,cubic,High symmetry,True,224,0.842863917350769,61,0.0008714132127352,139,0.0008337658364325,True,1.2858845825902052,0.2364593286604394,0.842863917350769,1.0,0.1492702960968017,0.1492702960968017,0.1492702960968017,0.0,0.1492702960968017,0.1492702960968017,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_106,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,106,10,10,11,11,monoclinic,monoclinic,Low symmetry,True,10,0.9670871496200562,1,0.0010608759475871,128,0.0008673886186443,True,0.3166878937499439,0.0582352473657931,0.9670871496200562,0.9999998211860656,0.250072181224823,0.250072181224823,0.250072181224823,0.0,0.250072181224823,0.250072181224823,False,clean input; no perturbation applied,forward_return_gate,single_softmax,13,Head,0.8,3.6350513474075674,True,False
opxrd_1061,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1061,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8494343757629395,45,0.0017450756859034,147,0.0008365437970496,True,1.2392656088787897,0.2278866376305532,0.8494343757629395,1.0000001192092896,0.1332299709320068,0.1332299709320068,0.1332299709320068,0.0,0.1332299709320068,0.1332299709320068,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1067,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1067,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8405926823616028,45,0.0010545138502493,162,0.0008254739805124,True,1.3028162369087553,0.2395728644065561,0.8405926823616028,0.9999999403953552,0.1329593509435653,0.1329593509435653,0.1329593509435653,0.0,0.1329593509435653,0.1329593509435653,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1068,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1068,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8402124643325806,45,0.0010247690370306,162,0.0008346511167474,True,1.3053253768863606,0.2400342662793622,0.8402124643325806,1.0,0.1289057582616806,0.1289057582616806,0.1289057582616806,0.0,0.1289057582616806,0.1289057582616806,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1072,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1072,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8449522852897644,45,0.0008219419396482,162,0.0008060249383561,True,1.27148323384314,0.2338110868954776,0.8449522852897644,0.9999998807907104,0.1415367424488067,0.1415367424488067,0.1415367424488067,0.0,0.1415367424488067,0.1415367424488067,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1079,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1079,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8374818563461304,45,0.0008603922906331,162,0.0008474123314954,True,1.3245426941276763,0.2435681090480365,0.8374818563461304,0.9999998807907104,0.1267404556274414,0.1267404556274414,0.1267404556274414,0.0,0.1267404556274414,0.1267404556274414,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1081,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1081,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8384029269218445,128,0.0008574181701987,162,0.0008508264436386,True,1.3177212253074306,0.2423137196887176,0.8384029269218445,1.0000001192092896,0.1089060306549072,0.1089060306549072,0.1089060306549072,0.0,0.1089060306549072,0.1089060306549072,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1082,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1082,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8392654657363892,128,0.0008439905359409,162,0.0008353944867849,True,1.311737942801192,0.2412134631153313,0.8392654657363892,1.0,0.1178146675229072,0.1178146675229072,0.1178146675229072,0.0,0.1178146675229072,0.1178146675229072,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1083,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1083,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8408603072166443,45,0.0009923466714099,162,0.0008396954508498,True,1.300778766923775,0.2391981971997654,0.8408603072166443,1.0,0.1298227459192276,0.1298227459192276,0.1298227459192276,0.0,0.1298227459192276,0.1298227459192276,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1084,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1084,224,224,225,225,cubic,cubic,High symmetry,True,224,0.845146894454956,128,0.0008158547570928,162,0.0008022896945476,True,1.269970594962987,0.2335329300694689,0.845146894454956,1.0,0.1246653571724891,0.1246653571724891,0.1246653571724891,0.0,0.1246653571724891,0.1246653571724891,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1087,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1087,224,224,225,225,cubic,cubic,High symmetry,True,224,0.865564227104187,1,0.0008003545226529,61,0.0007772993994876,True,1.123227743590404,0.2065486139099387,0.865564227104187,1.0,0.1233122125267982,0.1233122125267982,0.1233122125267982,0.0,0.1233122125267982,0.1233122125267982,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1091,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1091,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8396132588386536,45,0.0009416678221896,162,0.0008261773036792,True,1.3097231460564482,0.2408429652556481,0.8396132588386536,0.9999999403953552,0.1331606209278106,0.1331606209278106,0.1331606209278106,0.0,0.1331606209278106,0.1331606209278106,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1092,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1092,224,224,225,225,cubic,cubic,High symmetry,True,224,0.9036020040512084,126,0.0008512278436683,198,0.0006387107423506,True,0.8393147462604931,0.1543402915958368,0.9036020040512084,1.000000238418579,0.0809260383248329,0.0809260383248329,0.0809260383248329,0.0,0.0809260383248329,0.0809260383248329,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1094,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1094,224,224,225,225,cubic,cubic,High symmetry,True,224,0.842265248298645,45,0.0010590120218694,147,0.0008332153083756,True,1.290734154365598,0.23735110891959,0.842265248298645,0.9999999403953552,0.1287213712930679,0.1287213712930679,0.1287213712930679,0.0,0.1287213712930679,0.1287213712930679,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1100,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1100,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8520922660827637,61,0.0009392296778969,139,0.0008270606631413,True,1.2201631159134605,0.2243739097205383,0.8520922660827637,0.9999998807907104,0.1224973425269126,0.1224973425269126,0.1224973425269126,0.0,0.1224973425269126,0.1224973425269126,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
opxrd_1105,opxrd,final_gate_fls_model,training_results/exp_results/exp_test4_model.pth,gate,verified,clean,0,1105,224,224,225,225,cubic,cubic,High symmetry,True,224,0.8781458139419556,1,0.0008580117137171,145,0.0008077002712525,True,1.0307330754574628,0.1895399123301054,0.8781458139419556,1.0,0.0721251294016838,0.0721251294016838,0.0721251294016838,0.0,0.0721251294016838,0.0721251294016838,False,clean input; no perturbation applied,forward_return_gate,single_softmax,289,Head,0.8,3.6350513474075674,True,False
