Group,Retained samples (%),Rejected samples (%),Error rate in rejected samples,Mean entropy
correctness: correct,68.57142857142857,4.081632653061225,0.0,1.334577926117078
correctness: incorrect,11.428571428571429,15.918367346938776,1.0,3.382484207551978
class_frequency_group: Head,72.24489795918367,15.510204081632653,0.7631578947368421,1.7881789279008462
class_frequency_group: Medium,6.122448979591836,2.857142857142857,0.8571428571428572,2.585768511275002
class_frequency_group: Tail,1.6326530612244898,1.6326530612244898,1.0,2.854492001011307
symmetry_level: High symmetry,34.69387755102041,0.8163265306122449,1.0,1.3356718181627227
symmetry_level: Low symmetry,30.20408163265306,15.510204081632653,0.736842105263158,2.3715548298918603
symmetry_level: Medium symmetry,15.10204081632653,3.673469387755102,1.0,1.7905157310168962
true_crystal_system: cubic,34.69387755102041,0.8163265306122449,1.0,1.3356718181627227
true_crystal_system: hexagonal,2.857142857142857,0.0,,1.3400512461125402
true_crystal_system: monoclinic,13.46938775510204,7.346938775510204,0.6666666666666667,2.645756089171962
true_crystal_system: orthorhombic,14.285714285714286,5.3061224489795915,0.8461538461538461,1.8978150505516869
true_crystal_system: tetragonal,7.755102040816326,2.4489795918367347,1.0,1.8595956910819098
true_crystal_system: triclinic,2.4489795918367347,2.857142857142857,0.7142857142857143,3.0450352287413316
true_crystal_system: trigonal,4.489795918367347,1.2244897959183674,1.0,1.8923909019244078
