true_sg,pred_sg,true_crystal_system,pred_crystal_system,class_frequency_group,symmetry_level,count,mean_entropy,mean_max_probability,top3_hit_rate,same_crystal_system,true_symmetry_level,pred_symmetry_level,possible_ambiguity_source
15,60,monoclinic,orthorhombic,Head,Low symmetry,2,4.466356338445456,0.19362355768680573,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
14,26,monoclinic,orthorhombic,Head,Low symmetry,2,4.445923622037943,0.1382430046796798,0.5,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
74,2,orthorhombic,triclinic,Head,Low symmetry,2,3.7065705563067852,0.2787143290042877,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
60,62,orthorhombic,orthorhombic,Head,Low symmetry,1,5.171629945672159,0.0592923052608966,0.0,True,Low symmetry,Low symmetry,same crystal system
87,186,tetragonal,hexagonal,Medium,Medium symmetry,1,5.124432475859398,0.0486551113426685,0.0,False,Medium symmetry,Medium symmetry,neighboring lower-symmetry ambiguity
33,14,orthorhombic,monoclinic,Head,Low symmetry,1,5.116796527020821,0.0512719601392746,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
19,14,orthorhombic,monoclinic,Head,Low symmetry,1,5.021496239308895,0.0951090976595878,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
5,200,monoclinic,cubic,Medium,Low symmetry,1,5.015065255413597,0.0458408631384372,0.0,False,Low symmetry,High symmetry,requires manual crystallographic inspection
2,14,triclinic,monoclinic,Head,Low symmetry,1,4.973297337144111,0.1200018003582954,1.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
2,162,triclinic,trigonal,Head,Low symmetry,1,4.942628540693843,0.0686666741967201,0.0,False,Low symmetry,Medium symmetry,neighboring lower-symmetry ambiguity
129,176,tetragonal,hexagonal,Head,Medium symmetry,1,4.798947624898474,0.1147489473223686,0.0,False,Medium symmetry,Medium symmetry,neighboring lower-symmetry ambiguity
14,58,monoclinic,orthorhombic,Head,Low symmetry,1,4.797323952579719,0.0851434245705604,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
142,11,tetragonal,monoclinic,Tail,Medium symmetry,1,4.764053293624025,0.0740518495440483,0.0,False,Medium symmetry,Low symmetry,limited training support
71,193,orthorhombic,hexagonal,Tail,Low symmetry,1,4.743669742248986,0.1250960826873779,0.0,False,Low symmetry,Medium symmetry,limited training support
221,2,cubic,triclinic,Head,High symmetry,1,4.683015511781433,0.1424427181482315,1.0,False,High symmetry,Low symmetry,true class often remains in top-3 candidates
12,164,monoclinic,trigonal,Head,Low symmetry,1,4.657791379497008,0.1486350148916244,0.0,False,Low symmetry,Medium symmetry,neighboring lower-symmetry ambiguity
15,19,monoclinic,orthorhombic,Head,Low symmetry,1,4.570950245901097,0.1177599057555198,0.0,False,Low symmetry,Low symmetry,neighboring lower-symmetry ambiguity
148,163,trigonal,trigonal,Head,Medium symmetry,1,4.559519524257846,0.1132509112358093,0.0,True,Medium symmetry,Medium symmetry,same crystal system
123,62,tetragonal,orthorhombic,Medium,Medium symmetry,1,4.554994550137332,0.1196341216564178,0.0,False,Medium symmetry,Low symmetry,neighboring lower-symmetry ambiguity
4,14,monoclinic,monoclinic,Head,Low symmetry,1,4.4385725192961605,0.0939475372433662,0.0,True,Low symmetry,Low symmetry,same crystal system
